creature_id	name	sprite	is_hero	ability_codes
46	Детёныши ящера#Lizard cubs	smalllizardani	0	alive|packhunter
47	Кровавые ящеры#Vampiric lizards	redlizardani	0	alive|big|lifedrain
48	NaRuTiX97	pers_elfani	1	hero|shooter
49	Бестии#Rogues	maidenani	0	alive|strikeandreturn
51	Наездники на ящерах#Lizard cavalry	lizardriderani	0	alive|big|ridercharge
53	Фурии#Shrews	furyani	0	alive|noretalation|strikeandreturn
54	NaRuTiX97	pers_darkelfani	1	hero|shooter
55	Минотавры#Tamed minotaurs	minotaurani	0	alive|bravery
56	Ассасины#Poisoners	assasinani	0	alive|nopenalty|poisonattack|rangepenalty|shooter
57	Philosopher	pers_barbani	1	hero|shooter
58	---БариН---	pers_necrani	1	hero|shooter
59	dlc	pers_mageani	1	hero|shooter
60	Anastasyja007	wpers_ani	1	hero|shooter
63	Nadya2229	wpers_elfani	1	hero|shooter
64	Rainbow	wpers_barbani	1	hero|shooter
65	Nadya2229	wpers_darkelfani	1	hero|shooter
68	Призраки#Apparitions	spectreani	0	flyer|incorporeal|manadrain|undead
69	Стальные големы#Modern golems	steelgolemani	0	islow|magicproof75|mechanical|uretalation
70	Минотавры-стражи#Minotaur soldiers	minotaurguard_ani	0	alive|bravery|doublestrike
71	Латники#Guardians	swordmanani	0	alive|burstofenergy|enraged|lshield|shieldbash|shieldother
72	Мастера лука#Grandmaster bowmen	hunterelfani	0	alive|doubleshoot|shooter|wardingarrows
73	Орки-вожди#Orc chiefs	orcchiefani	0	alive|bloodlust|nopenalty|shooter|wardingarrows
74	Адские псы#Wolfhounds	demondogani	0	alive|demonic
75	Церберы#Cerberi	cerberusani	0	alive|demonic|noretalation|threehead
76	Адские жеребцы#Hell horses	nightmareani	0	alive|big|demonic|fearattack
77	Рогатые демоны#Demons	hdemonani	0	alive|demonic|enraged
78	Бесы#Imps	impani	0	alive|demonic|manadestroyer
80	Черти#Spawns	familiarani	0	alive|demonic|manastealer
81	Суккубы#Succubi	succubani	0	alive|demonic|rangedretaliation|shooter
82	Дьяволы#Devils	devilani	0	alive|big|demonic|flyer|teleport
83	Пещерные демоны#Cave demons	pitfiend_ani	0	alive|big|caster|demonic|mag
84	*ONAISGZANIR*	pers_demonani	1	hero|shooter
89	Циклопы#Cyclops	cyclopani	0	alive|shooter
90	Рыцари#Cavalry	knightani	0	alive|big|jousting
91	Умертвия#Death envoys	wightani	0	big|undead
92	Энты#Treefolk	entani	0	alive|big|enraged|entroots
93	Принцессы ракшас#Sphynx guardians	rakshasani	0	alive|big|noretalation
94	Сумеречные ведьмы#Dark witches	witchani	0	alive|caster|shooter
100	Изумрудные драконы#Jade dragons	emeralddragonani	0	acid_breath|alive|big|flyer|iearth
101	Чёрные драконы#Black dragons	blackdragonani	0	alive|big|fire_breath|flyer|immunity
102	Сумеречные драконы#Twilight dragons	shadowdragonani	0	alive|big|fire_breath|flyer
103	Зелёные драконы#Green dragons	greendragonani	0	acid_breath|alive|big|flyer
104	Архимаги#Lorekeepers	archmageani	0	alive|caster|energychannel|mag|magicattack|norangepenalty|shooter
105	Джинны-султаны#Senior genies	djinn_sultanani	0	alive|big|caster|flyer|magicproof50|random_blessing|randomcasterd
106	Колоссы#Giants	colossusani	0	alive|big|imind
107	Титаны#Titans	titanani	0	alive|big|calllightning|imind|nopenalty|shooter
108	Раджи ракшас#Sphynx warriors	rakshasa_rajaani	0	alive|big|dash|noretalation
117	Имперские грифоны#Royal griffins	impergriffinani	0	alive|battledive|big|flyer|iblind|uretalation
118	Высшие вампиры#Vampire counts	vampirelordani	0	flyer|lifedrain|noretalation|teleport|undead
119	Огры-маги#Ogre magi	ogremagiani	0	alive|caster|enraged|powerstrike
120	Верховные друиды#Anchorites	ddeldani	0	alive|caster|mag|manafeed|shooter
121	Тёмные всадники#Lizard assailants	grimriderani	0	alive|big|lizardbite|ridercharge
122	Демонессы#Mistresses	succubusmani	0	alive|chainshot|demonic|rangedretaliation|shooter
123	Воры-разведчики#Renegade scouts	thiefwarriorani	0	alive|noretalation
124	Воры-убийцы#Renegade thugs	thiefarcherani	0	alive|nopenalty|poisonattack|shooter
125	Воры-колдуны#Renegade magicians	thiefmageani	0	alive|caster|mag
126	Чародеи-наёмники#Mercenary sorcerers	mercwizardani	0	alive|caster|mag|shooter
131	Бегемоты#Behemoths	behemothani	0	alive|big|ignoredefence40
132	Ангелы#Angels	angelani	0	alive|big|flyer
133	Костяные драконы#Skeletal dragons	bonedragonani	0	big|flyer|undead
145	Инквизиторы#Clerics	inquisitorani	0	alive|caster|nopenalty|shooter
146	Архиличи#Archliches	archlichani	0	big|caster|deathcloud|mag|shooter|undead
147	Боевые единороги#Brilliant unicorns	silverunicornani	0	alive|auraofres|big|blinding_attack
148	Птицы грома#Thunderbirds	thunderbirdani	0	alive|big|carrier|flyer|lighting_attack
149	Пещерные гидры#Ladons	deephydraani	0	alive|big|enraged|noretalation|regeneration|six_heads
150	Кошмары#Nightmares	stallionani	0	alive|big|demonic|fearattack|frightful_aura
153	Воздушные элементали#Air elementals	airani	0	elemental|flyer|iair|noretalation
154	Земные элементали#Earth elementals	earthani	0	elemental|iearth|magicproof50|uretalation
155	Огненные элементали#Fire elementals	fireani	0	elemental|fireshield|ifire|shooter
156	Водные элементали#Water elementals	waterani	0	caster|elemental|icold|mag
157	Защитники гор#Sentries	defenderani	0	alive|armoured|enraged|lshield
158	Воители#Veterans	shieldguardani	0	alive|armoured|enraged|lshield|shieldwall
159	Метатели копья#Spearmen	spearwielderani	0	alive|cripplingwound|shooter
160	Мастера копья#Master spearmen	skirmesherani	0	alive|cripplingwound|nopenalty|shooter
161	Наездники на медведях#Dwarven ursary	bearriderani	0	alive|big|enraged
162	Хозяева медведей#Frontier ursary	blackbearriderani	0	alive|armoured|big|enraged|pawstrike
163	Берсерки#Berserkers	berserkerani	0	alive|berserkerrage|imind
164	Жрецы рун#Priests	runepriestani	0	alive|caster|fireproof50|markoffire|shooter
165	Старейшины рун#Patriarchs	runepatriarchani	0	alive|caster|crossfire|ifire|mag|markoffire|shooter
166	Таны#Dreadbanes	thaneani	0	alive|big|flyer|ilighting|stormstrike|teleport
167	Громовержцы#Invokers	thunderlordani	0	alive|big|flyer|ilighting|stormbolt|stormstrike|teleport
168	Огненные драконы#Lava dragons	firedragonani	0	big|elemental|fire_breath|fireshield|ifire
169	Магма драконы#Magma dragons	magmadragonani	0	big|elemental|fire_breath|ifire|magmashield
170	NaRuTiX97	pers_gnomani	1	hero|shooter
171	Anastasyja007	wpers_gnomani	1	hero|shooter
172	Медведи#Bears	bearani	0	alive|big|enraged|pawstrike
198	Пауки#Spiders	spiderani	0	alive|entroots|spider
199	Ядовитые пауки#Venomous spiders	spiderpoisani	0	alive|entroots|poisonattack|spider
200	Гарпии#Harpies	harpyani	0	alive|flyer|strikeandreturn
201	Гарпии-ведьмы#Raiding harpies	harpyhagani	0	alive|flyer|noretalation|strikeandreturn
202	Камнееды#Stoneeaters	kamneedani	0	alive|shieldbash
203	Камнегрызы#Stonegnawers	kamnegryzani	0	alive|cripplingwound|enraged|magicproof25|shieldbash
204	Тролли#Trolls	trollani	0	alive|big|bloodlust|lshield
205	Черные тролли#Crazed trolls	blacktrollani	0	alive|big|bloodlust|lshield|magicproof25
207	Бехолдеры#Beholders	beholderani	0	alive|enraged|nopenalty|shooter
208	Злобные глаза#Evil eyes	evileyeani	0	alive|enraged|nopenalty|shooter|wardingarrows
209	Сирены#Sirens	sirenani	0	alive|caster|imind
210	Сирены-искусительницы#Seducing sirens	upsirenani	0	alive|caster|imind
211	Морские черти#Anglerfish	seamonsterani	0	alive|big|deathstrike
212	Глубоководные черти#Voracious anglerfish	upseamonsterani	0	alive|big|deathstrike|regeneration
213	Левиафаны#Leviathans	leviathanani	0	alive|big|icold|ignoredefence30
214	Великие левиафаны#Great leviathans	upleviathanani	0	alive|big|icold|ignoredefence50
217	Костяные гидры#Skeletal hydras	bonehydraani	0	big|enraged|noretalation|threehead|undead
234	Паладины#Paladins	paladinani	0	alive|big|ifrenzy|jousting|layhands
235	Вестники смерти#Death heralds	wraithani	0	big|harmtouch|undead
236	Пещерные владыки#Pit demons	pitlord_ani	0	alive|big|caster|demonic|mag|vorpalsword
237	Циклопы-короли#Cyclop kings	cyclopkingani	0	alive|shooter|siegewalls
238	Древние энты#Ironroot treefolk	ancienentani	0	alive|big|enraged|entroots|takeroots
239	Владычицы тени#Dark sibyls	matriarchani	0	alive|caster|shooter|whipstrike
249	Архангелы#Archangels	archangelani	0	alive|big|flyer|resurrection
253	Гремлины-вредители#Gremlin wreckers	saboteurgremlinani	0	alive|magicmine|shooter
254	Головорезы#Brutes	bruteani	0	alive|assault
255	Нимфы#Dryads	dryad_ani	0	alive|flyer|noretalation|spray|symbiosis
256	Стихийные горгульи#Grotesques	elgargolyani	0	auraofairvul|auraoffirevul|auraofwatervul|elemental|enraged|flyer
257	Стрелки#Wardens	crossbowmanani	0	alive|norangepenalty|shooter
258	Танцующие с ветром#Forest brethren	winddancerani	0	agility|alive
259	Магнитные големы#Lodestone golems	magneticgolemani	0	enchantedarmor|magnetism|mechanical
260	Защитники веры#Crusaders	vindicatorani	0	alive|cleave|enraged|lshield
261	Лесные снайперы#Sharpshooters	arcaneelfani	0	alive|forcearrow|norangepenalty|shooter
267	Скелеты-воины#Skeletal legionnaires	sceletonwarani	0	lshield|magicproof25|shieldbash|shieldother|undead
268	Мумии#Mummies	mummyani	0	caster|hexingattack|undead
269	Мумии фараонов#Sphynx mummies	pharaohani	0	caster|hexingattack|undead
270	Гниющие зомби#Ghouls	rotzombieani	0	enraged|festeringaura|undead
272	Рыцари тьмы#Black knights	blackknightani	0	big|cursingattack|undead
273	Рыцари смерти#Unholy knights	deadknightani	0	big|cursingattack|deathattack|undead
280	Ифриты#Efreeti	efreetiani	0	alive|big|caster|demonic|flyer|ifire|mag
281	Дьяволята#Vermins	verminani	0	alive|demonic|siphonmana
282	Ифриты султаны#Efreeti sultans	efreetisultanani	0	alive|big|caster|demonic|fireshield|flyer|ifire|mag
285	Гоги#Gogs	gogani	0	alive|demonic|shooter
286	Врата ада#Hell gate	hellgateani	0	big|demonic|portal|warmachine
287	Магоги#Magogs	magogani	0	alive|demonic|pyromancer|shooter
288	Огненные гончие#Blazing hounds	firehoundani	0	alive|demonic|fire_breath|noretalation|threehead
289	Старшие демоны#Fiends	jdemonani	0	alive|demonic|enraged|leap
290	Кони преисподней#Searing horses	hellstallionani	0	alive|big|demonic|fearattack|searingaura
291	Пещерные отродья#Abyss demons	pitspawnani	0	alive|big|bladeofslaughter|demonic|magicproof50
292	Архидьяволы#Archdevils	archdevilani	0	alive|big|demonic|flyer|summonpitlords|teleport
293	Архидемоны#Antichrists	archdemonani	0	alive|big|demonic|flyer|teleport|teleportother
300	Призрачные драконы#Shadow dragons	spectraldragonani	0	big|cursingattack|deathstare|flyer|undead
301	Древние бегемоты#Ancient Behemoths	abehemothani	0	alive|big|ignoredefence60
309	Боевые кентавры#Tempered centaurs	mcentaurani	0	alive|big|nopenalty|ragingblood|shooter
310	Кентавры#Centaurs	fcentaurani	0	alive|big|maneuver|ragingblood|shooter
311	Кочевые кентавры#Centaur outriders	ncentaurani	0	alive|big|maneuver|ragingblood|shooter
314	Гоблины-лучники#Goblin archers	goblinarcherani	0	alive|shooter
315	Мегеры#Termagants	bloodsisterani	0	alive|immunetoweakness|noretalation|strikeandreturn
316	Проворные наездники#Lizard chargers	briskriderani	0	alive|big|lizardbite|ridercharge|wheelingattack
317	Минотавры-надсмотрщики#Minotaur gladiators	taskmasterani	0	alive|auraofbravery
318	Наездники на кабанах#Boar riders	boarriderani	0	alive|big|ignoredefence20
320	Степные бойцы#Enforcers	maulerani	0	alive|assault|enraged|ragingblood
323	Слоны#Elephants	elephantani	0	alive|big
324	Буйволы#Buffaloes	buffaloani	0	alive|big|bloodlust|enraged
325	Жеребцы#Stallions	horseani	0	alive|big
326	*ISPU*	keeperani	1	hero|shooter
330	Вармонгеры#Protectors	warmongani	0	alive|enraged|fierceretaliation|ragingblood|taunt
331	Шаманки#Shamans	shamanessani	0	alive|caster|ragingblood
332	Дочери неба#Sky shamans	sdaughterani	0	alive|caster|ragingblood|sacrificegoblin
333	Дочери земли#Earth shamans	eadaughterani	0	alive|caster|hexingattack|ragingblood|sacrificegoblin|swiftattack
334	Убийцы#Commanders	slayerani	0	alive|cleave|ragingblood
335	Палачи#Warlords	executionerani	0	alive|bravery|cleave|frightful_aura|ragingblood
336	Виверны#Tamed wyverns	wyvernani	0	alive|big|flyer|regeneration
337	Тёмные виверны#Venomous wyverns	foulwyvernani	0	alive|big|flyer|regeneration|venom
340	Скелеты-арбалетчики#Skeletal crossbowmen	skmarksmanani	0	preciseshot|shooter|undead
341	Высшие личи#Demiliches	masterlichani	0	big|caster|shooter|undead
352	Стражи#Sentinels	sentinelani	0	alive|shielded|shieldguard
353	Гвардейцы#Praetorians	praetorianani	0	alive|defender|shielded|shieldguard
355	Арбалетчики света#Marksmen	cmanani	0	alive|armorpiercing|norangepenalty|shooter
356	Арбалетчики солнца#Templar marksmen	marksani	0	alive|armorpiercing|norangepenalty|piercingbolt|shooter
357	Послушницы#Novices	sisterani	0	alive|heal5
358	Весталки#Vestals	vestalani	0	alive|blinding_attack|heal6
359	Всадники солнца#Sun chargers	sunriderani	0	alive|big|charge
360	Крестоносцы солнца#Champions	suncrusaderani	0	alive|big|blindingcharge|sunsteed
361	Грифоны света#Tamed griffins	griffinani	0	alive|battledive|big|flyer|uretalation
362	Грифоны солнца#Templar griffins	igriffinani	0	alive|big|divingassault|flyer|uretalation
363	Сияние#Blessed spirits	radiantgloryani	0	alive|cleansinglight|flyer|noretalation|speedoflight|spirit|strikeandreturn|teleport|vulnerabletoshadowmagic
364	Лучезарное сияние#Beaming spirits	blazinggloryani	0	alive|cleansinglight|flyer|noretalation|speedoflight|spirit|strikeandreturn|teleport|vulnerabletoshadowmagic
366	*ZUISKAMPAR*	leader1aani	1	hero|shooter
367	*SINGOMCHE*	leader1wani	1	hero|shooter
370	Небесные воители#Celestials	celestialani	0	alive|big|bladeofjudgment|bladeofmercy|flyer
371	Серафимы#Seraphs	seraphani	0	absolutepurity|alive|big|bladeofepiphany|bladeofjudgment|flyer
378	Гарпунеры#Harpooners	harpoonerani	0	alive|armoured|harpoonstrike|shooter
384	NightScorpion98	pers_svani	1	hero|shooter
386	Гоблины-трапперы#Goblin trappers	trapperani	0	alive|cowardice|ragingblood|setsnares
388	Громилы#Maulers	mauler6ani	0	alive|demoniclineage|shielded|tasteofblood
389	Крушилы#Crushers	crusher6ani	0	alive|demoniclineage|doublestrike|shielded|tasteofblood
390	Непокорные гоблины#Wild goblins	goblin6ani	0	alive|cripplingtraps|demoniclineage|shooter
391	Гоблины-охотники#Goblin hunters	goblinhunter6ani	0	alive|cripplingtraps|demoniclineage|shooter|viciousstrike
392	Непокорные гарпии#Unruly harpies	harpy6ani	0	alive|flyer|strikeandreturn
393	Сирины#Frenzied harpies	fury6ani	0	alive|flyer|noretalation|strikeandreturn
397	Степные циклопы#Tribal cyclops	cyclopusani	0	alive|big|ragingblood|swallowgoblin
399	Кровоглазые циклопы#Tribal beholders	bloodeyecycani	0	alive|big|evileye|goblinthrower|ragingblood|rangepenalty|swallowgoblin
401	Непокорные кентавры#Nomad centaurs	centaur6ani	0	alive|big|maneuver|norangepenalty|shooter|vigilantscout
402	Кентавры-мародёры#Marauding centaurs	mcentaur6ani	0	alive|big|maneuver|mobileshooter|norangepenalty|shooter|vigilantscout
403	Воины-ягуары#Worshippers	jaguar6ani	0	alive|big|demoniclineage|feralcharge|warfury
404	Воины-пантеры#Fetishists	panther6ani	0	alive|allaroundslash|big|demoniclineage|warfury
405	Сноходцы#Dreamwalkers	dreamwalker6ani	0	alive|caster|demoniclineage
406	Ловцы снов#Dreamreavers	dreamreaver6ani	0	alive|caster|demoniclineage
409	*SPEBRIRAM*	leadernpani	1	hero|shooter
410	*VSNIRIN*	leadernpwani	1	hero|shooter
411	*KAONAPOK*	leadernp1ani	1	hero|shooter
412	*ARSMADNIR*	leadernpw1ani	1	hero|shooter
413	Акульи стражи#Ichthys guard	sharkguardani	0	alive|amphibian|ferociouswound|vulnerabilitytoair|waterproof50
414	Акульи бойцы#Ichthys fighters	wanizameani	0	alive|amphibian|bloodfrenzy|ferociouswound|vulnerabilitytoair|waterproof50
415	Коралловые жрицы#Coral priestesses	coralpani	0	alive|amphibian|norangepenalty|shooter|vulnerabilitytoair|waterproof50|wavesofrenewal
416	Жемчужные жрицы#Pearl priestesses	pearlpani	0	alive|amphibian|eyesofthemedusa|norangepenalty|shooter|vulnerabilitytoair|waterproof50|wavesofrenewal
417	Каппы#Kappas	kappaani	0	alive|amphibian|leap6|vulnerabilitytoair|waterproof50
418	Могучие каппы#Mighty kappas	kappashoyaani	0	alive|amphibian|crashingleap|vulnerabilitytoair|waterproof50
419	Духи ручьёв#Spring spirits	springspiritani	0	alive|amphibian|painmirror|spirit|spiritlink|vulnerabilitytoair|waterproof50
420	Духи морей#Spring custodians	mizukamiani	0	alive|amphibian|lifeguardmembrane|painmirror|spirit|spiritbond|vulnerabilitytoair|waterproof50
421	Снежные девы#Snow maidens	snowmaidenani	0	alive|amphibian|frozentouch|norangepenalty|shooter|vulnerabilitytoair|waterproof50
422	Ледяные девы#Frost maidens	yukionnaani	0	alive|amphibian|frozencaress|norangepenalty|shooter|vulnerabilitytoair|waterproof50
423	Кэнши#Tritons	kenshiani	0	alive|amphibian|big|challenge|uretalation|vulnerabilitytoair|waterproof50
424	Кэнсэи#Myrmidons	kenseiani	0	alive|amphibian|big|challenge|fourwaves|uretalation|vulnerabilitytoair|waterproof50
427	*DAZTONPAR*	leaderinkani	1	hero|shooter
428	*VSRAM*	leaderinkwani	1	hero|shooter
429	*KOKAGOMKA*	leader41ani	1	hero|shooter
430	*KIMTINLENADO*	leader41wani	1	hero|shooter
431	*GROMUREVAKIM*	leader42ani	1	hero|shooter
432	*MURDUNACHMO*	leader42wani	1	hero|shooter
433	Свободные циклопы#Unfettered cyclops	untamedcycani	0	alive|big|crushblow|goblinthrower|ragingblood|rangepenalty|swallowgoblin
434	Непокорные циклопы#Wild cyclops	cyclop6ani	0	alive|big|demoniclineage|impervioustopain|slam
435	Разъяренные циклопы#Raging cyclops	ecyclop6ani	0	alive|big|burningrage|demoniclineage|impervioustopain|mightyslam|nopenalty|shooter
436	Вожаки#Chieftains	chieftainani	0	alive|commandingpresence|orderofchief|ragingblood
438	*MURTIN*	leader2ani	1	hero|shooter
439	*DZEMAO*	leader2wani	1	hero|shooter
440	Кирины#Aquatic serpents	kirinani	0	alive|amphibian|big|spirit|vulnerabilitytoair|waterflowsfreely|waterproof50
441	Священные кирины#Aquatic drakes	sacredkirinani	0	alive|amphibian|big|hailstormaura|spirit|vulnerabilitytoair|waterflowsfreely|waterproof50
442	Помешанные#Maniacs	maniacani	0	alive|fireprskin|twistedmind|vulnerabilitytolight
443	Безумцы#Demented	dementedani	0	alive|fireprskin|maniaclaughter|twistedmind|vulnerabilitytolight
444	Адские гончие#Hellhounds	hellhound6ani	0	alive|big|eyeofgluttony|fireprskin|uretalation|vulnerabilitytolight
445	Адские церберы#Hell cerberi	cerberani	0	alive|big|eyeofgluttony|fireprskin|uretalation|voracious|vulnerabilitytolight
446	Адские суккубы#Demonesses	succubus6ani	0	alive|fireprskin|flyer|norangepenalty|pleasureinpain|shooter|vulnerabilitytolight
447	Лилимы#Infernal succubi	lilimani	0	alive|fireprskin|flyer|norangepenalty|raptureinagony|shooter|vulnerabilitytolight
448	Породительницы#Breeders	breederani	0	alive|big|fireprskin|manaleech|shooter|vulnerabilitytolight
449	Матки-породительницы#Heinous breeders	mbreederani	0	alive|big|fireprskin|manaleech|proliferation|shooter|vulnerabilitytolight
485	Искусительницы#Temptresses	seducerani	0	alive|demonic|immunetohypnos|seduction|shooter
493	Штурмовые грифоны#Wild griffins	battlegriffonani	0	alive|battlefrenzy|big|flyer|iblind|rushdave|uretalation
494	Адепты#Exorcists	zealotani	0	alive|caster|nopenalty|purge|shooter
495	Чемпионы#Chargers	championani	0	alive|big|championcharge|jousting
496	Высшие ангелы#Thrones	seraph2ani	0	alive|big|caster|flyer
504	Anastasyja007	wpers_aani	1	hero|shooter
505	Тетя Наташа	pers_aani	1	hero|shooter
512	Духи#Poltergeists	poltergeistani	0	flyer|incorporeal|stealammunition|undead
513	Князья вампиров#Dreadlords	vampireprinceani	0	flyer|lifedrain|teleport|torpor|undead
514	Астральные драконы#Mirage dragons	ghostdragonani	0	big|flyer|sorrowstrike|undead
515	Баньши#Death proclaimers	bansheeani	0	big|deathwail|undead
517	Philosopher	pers_anecrani	1	hero|shooter
520	Големы смерти#Death golems	dgolemani	0	big|magicproof40|nopenalty|shooter|undead
521	Могильные големы#Sepulcher golems	dgolemupani	0	big|fearattack|frightful_aura|magicproof50|nopenalty|shooter|undead
522	Ведьмы-призраки#Cursed witches	cursed_ani	0	flyer|incorporeal|lifedrain|spirit|undead
534	Орки-тираны#Orc tyrants	orcrubakani	0	alive|bloodlust|doublestrike|nopenalty|shooter
535	Огры-ветераны#Ogre trophy-hunters	ogrebrutalani	0	alive|cripplingwound|enraged|powerstrike
536	Огненные птицы#Firebirds	firebird_ani	0	alive|big|carrier|fireattack|flyer|ifire
537	Циклопы-генералы#Cyclop generals	cyclopod_ani	0	alive|shootbash|shooter
538	Свирепые бегемоты#Infuriated behemoths	dbehemothani	0	alive|big|ferociouswound|ignoredefence40
544	Птицы тьмы#Dark rocs	darkbirdani	0	alive|big|carrier|darkattack|flyer
545	Гоблины-маги#Goblin warlocks	goblinmagani	0	alive|caster
546	Орки-шаманы#Orc shamans	orcshamanani	0	alive|bloodlust|caster|nopenalty|shooter
547	sergeyg968	pers_abarbani	1	hero|shooter
548	Мемхотеп	pers_bbarbani	1	hero|shooter
549	Rainbow	wpers_abarbani	1	hero|shooter
550	Rainbow	wpers_bbarbani	1	hero|shooter
567	Садисты#Tormentors	tormentorani	0	alive|fireprskin|retractablespikes|tasteofpain|vulnerabilitytolight
568	Изверги#Torturers	laceratorani	0	alive|explodingspikes|fireprskin|tasteofpain|vulnerabilitytolight
571	Демоны бездны#Wrath demons	pitfiend6ani	0	alive|big|bladeofhatred|blindedbyrage|fireprskin|flyer|hatefulretaliation|teleport|vulnerabilitytolight
572	Владыки бездны#Hatred demons	pitlord6ani	0	alive|big|bladeofhatred|blindedbyrage|boundlesshate|fireprskin|flyer|hatefulretaliation|teleport|vulnerabilitytolight
578	Боевые маги#Battlemagi	battlemageani	0	alive|caster|dampenmagic|mag|magicattack|norangepenalty|shooter
579	Визири джиннов#Fortune genies	djinn_vizierani	0	alive|big|flyer|iair|magicproof25|wheeloffortune
580	Кшатрии ракшасы#Sphynx immortals	rakshasa_kshatraani	0	alive|big|dash|whirlwind
581	Титаны шторма#Stormcallers	stormtitanani	0	alive|big|imind|nopenalty|shooter|stormcaller
582	dlc	pers_amageani	1	hero|shooter
587	Старшие друиды#High Druids	ddhighani	0	alive|caster|channeling|shooter
588	Светлые единороги#Pristine Unicorns	pristineunicornani	0	alive|big|blinding_attack|childofthelight
589	Дикие энты#Savage Treant	savageentani	0	alive|big|enraged|entroots|islow|rageoftheforest
590	Кристальные драконы#Crystal Dragons	crystaldragonani	0	alive|big|flyer|prismaticbreath
591	Бочка#Barrel	bochkaani	0	statix|warmachine
596	Ящик#Crate	yaschikani	0	statix|warmachine
599	Пироманьяки#Pyromaniacs	piromanani	0	alive|firewallshooter|shooter
600	Ретиарии#Retiarius	gladiatorani	0	alive|netshooter|nopenalty|rangepenalty|shooter
601	Силачи#Strongmen	kachokani	0	alive|damtodefence
604	Скелеты-пираты#Skeletal pirates	dpirateani	0	maneuver|piercingbolt|pirate|undead
606	Скелеты-корсары#Skeletal corsairs	dpirateupani	0	maneuver|nopenalty|piercingbolt|pirate|shooter|undead
607	Пушка#Cannon	cannonani	0	giantkiller|ignoredefence20|mechanical|noselfret|shooter|shootonly
608	Сундук#Chest	chestani	0	statix|stone
609	Золотые драконы#Gold dragons	golddragonani	0	alive|big|fire_breath|flyer|magicproof50|undeadkiller
611	Абордажники#Pirate Fighters	bpirateani	0	alive|leap|pirate
612	Корсары#Corsairs	apirateani	0	alive|cleave|pirate
622	Santremus	pers_aelfani	1	hero|shooter
623	Nadya2229	wpers_aelfani	1	hero|shooter
624	Хищные растения#Waspworts	plantani	0	alive|nopenalty|shooter|venom
626	Сатиры#Satyrs	satyrani	0	alive|moraler
627	Духи леса#Spirits of forest	spiritani	0	alive|flyer|noretalation|speedoflight|spirit|strikeandreturn|teleport
628	Пожиратели плоти#Flesh-eating trees	hungerplantani	0	alive|cursingattack|nopenalty|shooter|venom
630	Волшебные драконы#Faerie dragons	faeriedragonani	0	alive|big|caster|fire_breath|flyer|mag|magicmirror|magicproof50
631	Белые тигры#White tigers	whitetigerani	0	alive|big|concentration
633	*MARIS*	leader3aani	1	hero|shooter
